audio,id,labels,intent,annotator,annotation_id,created_at,updated_at,lead_time
/data/upload/3/e927b793-captcha_30812942ace14589919f652ad29567d4.wav,231,"[{""start"": 0.018023407022106634, ""end"": 0.7029128738621586, ""labels"": [""label""]}, {""start"": 1.111443433029909, ""end"": 1.7302470741222369, ""labels"": [""label""]}, {""start"": 1.850403120936281, ""end"": 2.517269180754226, ""labels"": [""label""]}, {""start"": 2.8657217165149547, ""end"": 3.64072821846554, ""labels"": [""label""]}, {""start"": 3.8930559167750323, ""end"": 4.62, ""labels"": [""label""]}]","[""5"", ""t"", ""j"", ""t"", ""n""]",1,204,2022-06-23T07:15:34.690675Z,2022-06-23T07:15:34.690715Z,60.063
/data/upload/3/6b862932-captcha_aabb62c7b1424620bfdb3188db5acec0.wav,230,"[{""start"": 0.6905968790637191, ""end"": 1.5157256176853056, ""labels"": [""label""]}, {""start"": 1.973133940182055, ""end"": 2.7444499349804943, ""labels"": [""label""]}, {""start"": 3.3184525357607284, ""end"": 3.892455136540962, ""labels"": [""label""]}, {""start"": 4.430582574772432, ""end"": 5.2736488946684, ""labels"": [""label""]}, {""start"": 5.42611833550065, ""end"": 6.403716514954486, ""labels"": [""label""]}]","[""3"", ""b"", ""c"", ""s"", ""x""]",1,203,2022-06-23T07:14:33.044590Z,2022-06-23T07:14:33.044650Z,29.206
/data/upload/3/5ef7dc1f-captcha_537f9b78ce034eabb1279e92018bc52c.wav,229,"[{""start"": 0.01408322496749028, ""end"": 0.7252860858257477, ""labels"": [""label""]}, {""start"": 0.9858257477243172, ""end"": 1.5773211963589076, ""labels"": [""label""]}, {""start"": 1.9153185955786736, ""end"": 2.457522756827048, ""labels"": [""label""]}, {""start"": 2.696937581274382, ""end"": 3.323641092327698, ""labels"": [""label""]}, {""start"": 3.478556566970091, ""end"": 3.98555266579974, ""labels"": [""label""]}]","[""h"", ""e"", ""a"", ""t"", ""8""]",1,202,2022-06-23T07:13:02.771565Z,2022-06-23T07:13:02.771607Z,21.196
/data/upload/3/1f7f1474-captcha_81d78ed3e0fd4b3c9603445f2d16fb15.wav,228,"[{""start"": 0.016954486345903796, ""end"": 0.7968608582574773, ""labels"": [""label""]}, {""start"": 1.356358907672302, ""end"": 2.2973328998699616, ""labels"": [""label""]}, {""start"": 2.348196358907672, ""end"": 3.111148244473342, ""labels"": [""label""]}, {""start"": 3.246784135240572, ""end"": 3.9164863459037713, ""labels"": [""label""]}, {""start"": 3.9334408322496746, ""end"": 4.459029908972692, ""labels"": [""label""]}]","[""s"", ""w"", ""c"", ""m"", ""b""]",1,201,2022-06-23T07:12:40.147347Z,2022-06-23T07:12:40.147404Z,44.196
/data/upload/3/a7d8f833-captcha_42bf8321d7cb45a7821e94ad247dbee0.wav,227,"[{""start"": 0.20611573472041617, ""end"": 0.76462288686606, ""labels"": [""label""]}, {""start"": 1.3430767230169052, ""end"": 1.841743823146944, ""labels"": [""label""]}, {""start"": 2.2406775032509754, ""end"": 2.6994512353706117, ""labels"": [""label""]}, {""start"": 3.2646072821846555, ""end"": 3.6901365409622886, ""labels"": [""label""]}, {""start"": 4.0624746423927185, ""end"": 4.847044213263979, ""labels"": [""label""]}]","[""c"", ""s"", ""8"", ""8"", ""e""]",1,200,2022-06-23T07:11:52.386934Z,2022-06-23T07:11:52.386977Z,34.983
/data/upload/3/a35881d4-captcha_30ce32e647a24558bb81424b6f59fe91.wav,226,"[{""start"": 0.054803641092327694, ""end"": 0.7672509752925877, ""labels"": [""label""]}, {""start"": 1.431745123537061, ""end"": 2.2537997399219765, ""labels"": [""label""]}, {""start"": 2.3976592977893367, ""end"": 2.890892067620286, ""labels"": [""label""]}, {""start"": 3.617040312093628, ""end"": 4.144525357607282, ""labels"": [""label""]}, {""start"": 4.507599479843953, ""end"": 5.089888166449935, ""labels"": [""label""]}]","[""e"", ""h"", ""b"", ""4"", ""u""]",1,199,2022-06-23T07:11:16.145661Z,2022-06-23T07:11:16.145706Z,44.756
/data/upload/3/b43e76ce-captcha_8e1c8540626249d2aaa937a4f6ea22b1.wav,225,"[{""start"": 0, ""end"": 0.5192847854356306, ""labels"": [""label""]}, {""start"": 0.8057867360208062, ""end"": 1.4026657997399221, ""labels"": [""label""]}, {""start"": 1.6354486345903771, ""end"": 2.142795838751626, ""labels"": [""label""]}, {""start"": 2.775487646293888, ""end"": 3.426085825747724, ""labels"": [""label""]}, {""start"": 3.6290247074122237, ""end"": 4.2796228868660595, ""labels"": [""label""]}]","[""3"", ""w"", ""s"", ""w"", ""r""]",1,198,2022-06-23T07:10:29.858233Z,2022-06-23T07:10:29.858289Z,32.711
/data/upload/3/c419ea28-captcha_8e1a4a65845f40c4ac33730d46e179f2.wav,224,"[{""start"": 0.13217165149544863, ""end"": 0.913185955786736, ""labels"": [""label""]}, {""start"": 1.111443433029909, ""end"": 1.7903250975292588, ""labels"": [""label""]}, {""start"": 2.0907152145643693, ""end"": 2.7455656697009103, ""labels"": [""label""]}, {""start"": 2.9858777633289986, ""end"": 3.610689206762028, ""labels"": [""label""]}, {""start"": 3.7248374512353704, ""end"": 4.397711313394018, ""labels"": [""label""]}]","[""r"", ""x"", ""y"", ""9"", ""v""]",1,197,2022-06-23T07:09:55.728670Z,2022-06-23T07:09:55.728712Z,38.736
/data/upload/3/a0585acc-captcha_5f8b2cf586b9493881fb506712399e85.wav,223,"[{""start"": 0, ""end"": 0.6272769830949284, ""labels"": [""label""]}, {""start"": 1.5650871261378412, ""end"": 1.9812015604681403, ""labels"": [""label""]}, {""start"": 2.415947984395318, ""end"": 2.962486345903771, ""labels"": [""label""]}, {""start"": 3.1922808842652795, ""end"": 3.7698725617685307, ""labels"": [""label""]}, {""start"": 3.8195578673602077, ""end"": 4.2418829648894665, ""labels"": [""label""]}]","[""v"", ""c"", ""5"", ""h"", ""5""]",1,196,2022-06-23T07:09:15.856724Z,2022-06-23T07:09:15.856791Z,44.212
/data/upload/3/54404f63-captcha_5ca2bc49f0b5449e9cb1d1fcc7976db5.wav,222,"[{""start"": 0.5226892067620286, ""end"": 1.028334200260078, ""labels"": [""label""]}, {""start"": 1.7782795838751626, ""end"": 2.232791937581274, ""labels"": [""label""]}, {""start"": 2.2668803641092325, ""end"": 2.7327555266579977, ""labels"": [""label""]}, {""start"": 2.8747906371911576, ""end"": 3.5508777633289985, ""labels"": [""label""]}, {""start"": 3.681550065019506, ""end"": 4.238327698309493, ""labels"": [""label""]}]","[""c"", ""u"", ""8"", ""h"", ""a""]",1,195,2022-06-23T07:01:09.562744Z,2022-06-23T07:01:09.562785Z,65.499
/data/upload/3/cbc648f3-captcha_1f67dbd0903b4e3885776c241f1b32f8.wav,221,"[{""start"": 0.12809249024707414, ""end"": 0.7480601430429129, ""labels"": [""label""]}, {""start"": 0.9837503250975294, ""end"": 1.5268624837451237, ""labels"": [""label""]}, {""start"": 1.6703260728218468, ""end"": 2.2493041287386215, ""labels"": [""label""]}, {""start"": 2.648952698309493, ""end"": 3.233054453836151, ""labels"": [""label""]}, {""start"": 3.2689203511053315, ""end"": 3.673692620286086, ""labels"": [""label""]}]","[""w"", ""k"", ""a"", ""4"", ""p""]",1,194,2022-06-23T07:00:02.973313Z,2022-06-23T07:00:02.973364Z,27.841
/data/upload/3/2ad028d9-captcha_e5bcd1a494b44a8284bd13c5788c0991.wav,220,"[{""start"": 0, ""end"": 0.5554356306892068, ""labels"": [""label""]}, {""start"": 0.7069180754226267, ""end"": 1.1411677503250977, ""labels"": [""label""]}, {""start"": 1.2926501950585176, ""end"": 1.6713563068920676, ""labels"": [""label""]}, {""start"": 2.2318413524057217, ""end"": 2.6660910273081924, ""labels"": [""label""]}, {""start"": 2.9539076723016904, ""end"": 3.3174655396618986, ""labels"": [""label""]}]","[""k"", ""5"", ""d"", ""c"", ""8""]",1,193,2022-06-23T06:59:34.030109Z,2022-06-23T06:59:34.030163Z,26.14
